Date,Mean Temperature (C),Temperature Count,Mean Pressure (mbar),Pressure Count,Mean Precipitation (mm),Precipitation Count
2013-02-01,1.84,28.0,987.11,28.0,1.86,28.0
2013-03-01,1.44,31.0,994.55,31.0,3.09,31.0
2013-04-01,0.8,30.0,983.01,30.0,4.22,30.0
2013-05-01,-1.82,31.0,985.15,31.0,1.24,31.0
2013-06-01,-3.52,30.0,978.37,30.0,0.78,30.0
2013-07-01,-5.12,31.0,983.76,31.0,0.96,31.0
2013-08-01,-6.58,31.0,988.91,31.0,0.47,31.0
2013-09-01,-7.25,30.0,995.48,30.0,0.51,30.0
2013-10-01,-2.79,31.0,981.19,31.0,0.87,31.0
2013-11-01,-2.22,30.0,978.11,30.0,1.62,30.0
2013-12-01,-0.21,31.0,986.81,31.0,0.25,31.0
2014-01-01,1.33,31.0,990.02,31.0,0.84,31.0
2014-02-01,0.86,28.0,988.43,28.0,1.94,28.0
2014-03-01,0.06,31.0,982.27,31.0,0.85,31.0
2014-04-01,-0.26,30.0,994.47,30.0,1.29,30.0
2014-05-01,-0.87,31.0,990.88,31.0,0.52,31.0
2014-06-01,-2.88,30.0,991.13,30.0,1.12,30.0
2014-07-01,-3.95,31.0,991.13,31.0,1.06,31.0
2014-08-01,-5.55,31.0,994.86,31.0,0.64,31.0
2014-09-01,-3.57,30.0,996.06,30.0,0.65,30.0
2014-10-01,-3.0,31.0,979.93,31.0,1.77,31.0
2014-11-01,-1.27,30.0,978.66,30.0,0.71,30.0
2014-12-01,0.35,31.0,982.38,31.0,0.5,31.0
2015-01-01,1.71,31.0,989.35,31.0,1.72,31.0
2015-02-01,1.53,28.0,984.98,28.0,1.51,28.0
2015-03-01,0.5,31.0,985.91,31.0,2.02,31.0
2015-04-01,-0.4,30.0,986.48,30.0,1.74,30.0
2015-05-01,-2.67,31.0,989.27,31.0,0.69,31.0
2015-06-01,-6.21,30.0,981.82,30.0,0.0,30.0
2015-07-01,-10.72,31.0,984.4,31.0,0.0,31.0
2015-08-01,-9.12,31.0,982.52,31.0,0.0,31.0
2015-09-01,-9.66,30.0,983.13,30.0,0.68,30.0
2015-10-01,-2.81,31.0,988.07,31.0,3.32,31.0
2015-11-01,-1.54,30.0,977.44,30.0,1.69,30.0
2015-12-01,-0.12,31.0,982.25,31.0,0.93,31.0
2016-01-01,0.87,31.0,984.89,31.0,1.42,31.0
2016-02-01,1.17,29.0,982.0,29.0,2.01,29.0
2016-03-01,0.43,31.0,979.5,31.0,3.74,31.0
2016-04-01,-2.8,30.0,983.1,30.0,1.42,30.0
2016-05-01,-2.16,31.0,1000.47,31.0,1.27,31.0
2016-06-01, != -1.97, != 30.0, != 985.71, != 30.0, != 2.73, != 30.0
2016-07-01,-6.78 != -6.74,30.0 != 31.0,993.04 != 993.23,30.0 != 31.0,0.75 != 0.78,30.0 != 31.0
2016-08-01,-7.5,31.0,990.15,31.0,1.82,31.0
2016-09-01,-1.81 != -1.8,29.0 != 30.0,983.78 != 984.1,29.0 != 30.0,5.5 != 5.33,29.0 != 30.0
2016-10-01,-1.25,31.0,989.13,31.0,2.39,31.0
2016-11-01,-1.31,30.0,980.74,30.0,1.18,30.0
2016-12-01,0.86 != 0.89,30.0 != 31.0,988.03 != 988.27,30.0 != 31.0,0.18 != 0.19,30.0 != 31.0
2017-01-01,2.56,30.0,983.83,30.0,0.85,30.0
2017-02-01,2.67,28.0,989.92,28.0,0.99,28.0
2017-03-01,1.96,31.0,997.61,31.0,4.35,31.0
2017-04-01,0.36 != -0.92,14.0 != 30.0,989.37 != 990.63,14.0 != 30.0,2.09 != 1.56,14.0 != 30.0
2017-05-01, != -0.84, != 31.0, != 985.93, != 31.0, != 2.67, != 31.0
2017-06-01,0.36 != -3.45,14.0 != 30.0,989.37 != 983.17,14.0 != 30.0,2.09 != 0.55,14.0 != 30.0
2017-07-01,-4.35,31.0,979.74,31.0,3.81,31.0
2017-08-01,-4.55,31.0,983.77,31.0,0.58,31.0
2017-09-01,-7.64,30.0,972.81,30.0,4.09,30.0
2017-10-01,-3.41,31.0,978.96,31.0,1.82,31.0
2017-11-01,-1.19,30.0,983.38,30.0,1.31,30.0
2017-12-01,1.19,31.0,975.08,31.0,0.63,31.0
2018-01-01,1.78 != 1.79,30.0 != 31.0,981.52 != 981.61,30.0 != 31.0,1.84 != 1.78,30.0 != 31.0
2018-02-01,2.65 != 2.6,27.0 != 28.0,979.3 != 979.44,27.0 != 28.0,1.31 != 1.26,27.0 != 28.0
2018-03-01,1.24,31.0,975.78,31.0,5.83,31.0
2018-04-01,0.06 != 0.04,28.0 != 30.0,983.4 != 983.31,28.0 != 30.0,1.39 != 2.22,28.0 != 30.0
2018-05-01,-2.78,31.0,985.36,31.0,1.05,31.0
2018-06-01,-3.24,30.0,989.93,30.0,1.57,30.0
2018-07-01,-4.89,31.0,988.95,31.0,2.95,31.0
2018-08-01, != -6.26, != 31.0, != 983.01, != 31.0, != 2.48, != 31.0
2018-09-01,-5.6,30.0,985.31,30.0,3.1,30.0
2018-10-01,-2.64,31.0,990.92,31.0,1.26,31.0
2018-11-01, != -0.29, != 30.0, != 973.21, != 25.0, != 2.58, != 30.0
2018-12-01, != 0.47, != 31.0, != 975.66, != 31.0, != 2.39, != 31.0
2019-01-01,1.21,31.0,980.53,31.0,0.71,31.0
2019-02-01, != 0.76, != 28.0, != 986.8, != 28.0, != 1.05, != 28.0
2019-03-01,0.84,31.0,986.08,31.0,3.33,31.0
2019-04-01, != -0.37, != 30.0, != 980.89, != 30.0, != 5.35, != 30.0
2019-05-01, != -2.96, != 31.0, != 983.71, != 31.0, != 2.31, != 31.0
2019-06-01, != -3.26, != 30.0, != 989.32, != 30.0, != 0.62, != 30.0
2019-07-01, != -4.22, != 31.0, != 997.19, != 31.0, != 0.65, != 31.0
2019-08-01, != -4.79, != 31.0, != 991.98, != 31.0, != 0.16, != 31.0
2019-09-01, != -5.66, != 30.0, != 986.25, != 30.0, != 0.84, != 30.0
2019-10-01, != -2.92, != 31.0, != 983.7, != 31.0, != 5.16, != 31.0
2019-11-01, != -1.0, != 30.0, != 983.17, != 30.0, != 1.33, != 30.0
2019-12-01, != 0.8, != 31.0, != 989.36, != 31.0, != 0.55, != 31.0
2020-01-01, != 3.03, != 31.0, != 985.59, != 27.0, != 0.95, != 31.0
2020-02-01, != 2.69, != 29.0, != 991.04, != 22.0, != 1.25, != 29.0
2020-03-01, != 0.92, != 31.0, != 982.89, != 31.0, != 2.27, != 31.0
2020-04-01, != -0.37, != 30.0, != 983.23, != 30.0, != 3.56, != 30.0
2020-05-01, != -2.01, != 31.0, != 993.4, != 31.0, != 0.88, != 31.0
2020-06-01, != -2.43, != 30.0, != 989.61, != 30.0, != 0.59, != 30.0
2020-07-01, != -4.84, != 29.0, != 998.59, != 29.0, != 0.34, != 31.0
2020-08-01, != -4.64, != 31.0, != 987.21, != 31.0, != 0.7, != 31.0
2020-09-01, != -4.54, != 30.0, != 982.19, != 30.0, != 1.35, != 30.0
2020-10-01, != -2.36, != 31.0, != 979.63, != 31.0, != 1.41, != 31.0
2020-11-01, != 0.28, != 30.0, != 977.49, != 30.0, != 4.54, != 30.0
2020-12-01, != 0.64, != 31.0, != 978.33, != 31.0, != 2.31, != 31.0
2021-01-01, != 2.17, != 31.0, != 982.16, != 31.0, != 2.34, != 31.0
2021-02-01, != 2.11, != 28.0, != 981.48, != 28.0, != 5.3, != 28.0
2021-03-01, != 0.81, != 31.0, != 979.94, != 31.0, != 3.42, != 31.0
2021-04-01, != -1.0, != 30.0, != 982.41, != 30.0, != 4.17, != 30.0
2021-05-01, != -1.78, != 31.0, != 989.87, != 31.0, != 4.62, != 31.0
2021-06-01, != -2.64, != 30.0, != 990.82, != 30.0, != 2.09, != 30.0
2021-07-01, != -3.21, != 31.0, != 987.62, != 31.0, != 0.86, != 31.0
2021-08-01, != -6.55, != 31.0, != 980.19, != 31.0, != 1.58, != 31.0
2021-09-01, != -1.82, != 30.0, != 977.15, != 30.0, != 2.74, != 30.0
2021-10-01, != -0.61, != 31.0, != 972.75, != 31.0, != 2.14, != 31.0
2021-11-01, != 0.37, != 30.0, != 980.03, != 30.0, != 4.1, != 30.0
2021-12-01, != 0.85, != 31.0, != 976.39, != 31.0, != 4.01, != 31.0
2022-01-01, != 1.99, != 31.0, != 984.14, != 30.0, != 1.57, != 31.0
2022-02-01, != 2.12, != 28.0, != 982.74, != 28.0, != 1.82, != 28.0
2022-03-01, != 0.77, != 31.0, != 988.93, != 31.0, != 3.84, != 31.0
2022-04-01, != -0.49, != 30.0, != 982.91, != 30.0, != 1.49, != 30.0
2022-05-01, != -0.72, != 31.0, != 987.83, != 31.0, != 2.92, != 31.0
2022-06-01, != -2.22, != 30.0, != 980.97, != 30.0, != 4.1, != 30.0
2022-07-01, != -2.58, != 31.0, != 984.48, != 31.0, != 1.98, != 31.0
2022-08-01, != -1.18, != 31.0, != 986.59, != 30.0, != 2.87, != 31.0
2022-09-01, != -0.6, != 30.0, != 981.21, != 30.0, != 6.03, != 30.0
2022-10-01, != -1.62, != 31.0, != 973.77, != 31.0, != 1.79, != 31.0
2022-11-01, != 0.67, != 30.0, != 974.29, != 30.0, != 6.65, != 30.0
2022-12-01, != 1.56, != 31.0, != 979.93, != 31.0, != 1.08, != 31.0
2023-01-01, != 2.8, != 31.0, != 978.64, != 31.0, != 3.93, != 31.0
2023-02-01, != 2.3, != 28.0, != 983.15, != 28.0, != 1.98, != 28.0
2023-03-01, != 1.05, != 31.0, != 975.71, != 31.0, != 3.41, != 31.0
2023-04-01, != -0.16, != 30.0, != 981.03, != 30.0, != 5.37, != 30.0
2023-05-01, != -0.61, != 31.0, != 977.75, != 31.0, != 3.46, != 31.0
2023-06-01, != -2.72, != 30.0, != 989.89, != 30.0, != 0.9, != 30.0
